,article_title,revision_id,article_quality,Country,Region,Population
0,Shahjahan Noori,1099689043,GA,Afghanistan,SOUTH ASIA,41.1
1,Abdul Ghafar Lakanwal,943562276,Start,Afghanistan,SOUTH ASIA,41.1
2,Majah Ha Adrif,852404094,Start,Afghanistan,SOUTH ASIA,41.1
3,Haroon al-Afghani,1095102390,B,Afghanistan,SOUTH ASIA,41.1
4,Tayyab Agha,1104998382,Start,Afghanistan,SOUTH ASIA,41.1
5,Ahmadullah Wasiq,1109361754,Start,Afghanistan,SOUTH ASIA,41.1
6,Aziza Ahmadyar,1087211008,Start,Afghanistan,SOUTH ASIA,41.1
7,Muqadasa Ahmadzai,1082489593,Start,Afghanistan,SOUTH ASIA,41.1
8,Mohammad Sarwar Ahmedzai,1038918070,Start,Afghanistan,SOUTH ASIA,41.1
9,Amir Muhammad Akhundzada,1069322182,Start,Afghanistan,SOUTH ASIA,41.1
10,Nasrullah Baryalai Arsalai,1095526840,Start,Afghanistan,SOUTH ASIA,41.1
11,Mohammad Asim Asim,1013838830,Stub,Afghanistan,SOUTH ASIA,41.1
12,Atiqullah Atifmal,1112407669,Start,Afghanistan,SOUTH ASIA,41.1
13,Abdul Rahim Ayoubi,1108886061,Start,Afghanistan,SOUTH ASIA,41.1
14,Alhaj Mutalib Baig,1111494041,Start,Afghanistan,SOUTH ASIA,41.1
15,Ismael Balkhi,1112534409,Start,Afghanistan,SOUTH ASIA,41.1
16,Abdul Baqi Turkistani,889226470,Stub,Afghanistan,SOUTH ASIA,41.1
17,Mohammad Ghous Bashiri,1102150221,Start,Afghanistan,SOUTH ASIA,41.1
18,Abas Basir,1098419766,C,Afghanistan,SOUTH ASIA,41.1
19,Jan Baz,997027082,Stub,Afghanistan,SOUTH ASIA,41.1
20,Ahmad Behzad,1103948295,Start,Afghanistan,SOUTH ASIA,41.1
21,Bashir Ahmad Bezan,1060707209,Start,Afghanistan,SOUTH ASIA,41.1
22,Rafiullah Bidar,977208323,Stub,Afghanistan,SOUTH ASIA,41.1
23,Mohammad Siddiq Chakari,1105913099,Stub,Afghanistan,SOUTH ASIA,41.1
24,Cheragh Ali Cheragh,1087211968,Start,Afghanistan,SOUTH ASIA,41.1
25,Nasir Ahmad Durrani,988838315,Stub,Afghanistan,SOUTH ASIA,41.1
26,Elay Ershad,1102489654,Stub,Afghanistan,SOUTH ASIA,41.1
